tweet_id,retweet_count,favor_count,expanded_url
881268444196462592,5037,22571,https://twitter.com/dog_rates/status/881268444196462592/photo/1
880935762899988482,2706,16647,https://twitter.com/dog_rates/status/880935762899988482/photo/1
880872448815771648,3726,20767,https://twitter.com/dog_rates/status/880872448815771648/photo/1
880465832366813184,6107,27870,https://twitter.com/dog_rates/status/880465832366813184/photo/1
880221127280381952,4099,26393,https://twitter.com/dog_rates/status/880221127280381952/photo/1
880095782870896641,4223,26984,https://twitter.com/dog_rates/status/880095782870896641/photo/1
879862464715927552,3403,21828,https://twitter.com/dog_rates/status/879862464715927552/photo/1
879492040517615616,3094,22885,https://twitter.com/dog_rates/status/879492040517615616/photo/1
879415818425184262,43123,103395,https://twitter.com/dog_rates/status/879415818425184262/video/1
879376492567855104,3028,16405,https://twitter.com/dog_rates/status/879376492567855104/photo/1
879130579576475649,6636,0,
879050749262655488,4582,22031,https://twitter.com/dog_rates/status/879050749262655488/photo/1
879008229531029506,2624,18549,https://twitter.com/dog_rates/status/879008229531029506/photo/1
878776093423087618,4020,18964,https://twitter.com/dog_rates/status/878776093423087618/photo/1
878604707211726852,7012,29564,
878404777348136964,1252,0,
878316110768087041,6479,0,
878281511006478336,1252,7561,https://twitter.com/dog_rates/status/878281511006478336/photo/1
878057613040115712,6636,41074,https://twitter.com/dog_rates/status/878057613040115712/photo/1
877736472329191424,18605,77926,https://twitter.com/dog_rates/status/877736472329191424/photo/1
877556246731214848,3704,22208,https://twitter.com/dog_rates/status/877556246731214848/photo/1
877316821321428993,5055,26777,https://twitter.com/dog_rates/status/877316821321428993/photo/1
877201837425926144,5441,26513,https://twitter.com/dog_rates/status/877201837425926144/photo/1
876838120628539392,3255,20232,https://twitter.com/dog_rates/status/876838120628539392/photo/1
876537666061221889,4529,23021,
876484053909872640,2334,18353,https://twitter.com/dog_rates/status/876484053909872640/photo/1
876120275196170240,4572,27320,https://twitter.com/dog_rates/status/876120275196170240/photo/1
875747767867523072,4192,24645,https://twitter.com/dog_rates/status/875747767867523072/photo/1
875144289856114688,4820,21463,https://twitter.com/dog_rates/status/875144289856114688/video/1
875097192612077568,5917,26830,
875021211251597312,4613,24927,https://twitter.com/dog_rates/status/875021211251597312/photo/1
874680097055178752,4540,27238,https://twitter.com/dog_rates/status/874680097055178752/photo/1
